absent,id,name,size,letter_1,letter_2,letter_3,letter_4,letter_5,letter_6,letter_7,letter_8,letter_9,letter_10,letter_11,letter_12,letter_13,letter_14,letter_15,letter_16,letter_17,letter_18,letter_19,letter_20,letter_21,letter_22,letter_23,letter_24,letter_25,letter_26,letter_27,letter_28,letter_29,letter_30,letter_31,letter_32,letter_33,letter_34,letter_35,rotation_1,rotation_2,rotation_3,rotation_4,rotation_5,rotation_6,rotation_7,rotation_8,rotation_9,rotation_10,rotation_11,rotation_12,rotation_13,rotation_14,rotation_15,rotation_16,rotation_17,rotation_18,rotation_19,rotation_20,rotation_21,rotation_22,rotation_23,rotation_24,rotation_25,rotation_26,rotation_27,rotation_28,rotation_29,rotation_30,rotation_31,rotation_32,rotation_33,rotation_34,rotation_35,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30,y_31,y_32,y_33,y_34,y_35
false,1,35_present_37.jpg,35,O,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,90,,180,,180,270,270,270,270,270,,270,90,90,180,180,180,90,,270,180,,90,,,90,270,90,180,,180,270,180,90,90,1821.0320143470155,504.16193794223017,852.9538270579875,1096.4336619646676,109.92260221213499,1875.57934074674,876.7587777105846,2115.063100156341,965.7242923978903,1607.1835901293534,363.57812109919007,1655.3188583431427,1202.4751837811787,733.0826177821252,1408.4711850157646,138.9352458895973,1749.4414167836937,58.253841305395994,1284.0539977331248,658.7743010517489,1092.7709717380712,1875.7655318671893,2139.3248863179433,270.0773437152221,2168.921961540263,1495.4561236813167,1416.8522390536325,2108.5074048107113,518.2320463144027,372.9543523495883,1887.4199382027368,1208.0197105526458,1663.7138978161252,670.227783688636,915.6368747815593,185.06371313534663,565.0782743073679,591.6272114019603,410.2362176725269,735.6323871519454,1098.2791607668555,350.58048523689877,787.6377795056014,878.6309042813067,919.5562919038395,858.69453459574,453.81251033800527,922.7262248875398,1002.8174324160905,351.14533701084446,969.2925837468772,821.3689425060384,315.2871058787768,89.47234763115458,273.8546411953427,1188.7843134091784,335.25221958555784,396.31124541275267,228.1469804044972,1161.4603042420265,1067.9274092365215,594.5234864011961,139.30719007173687,1215.4232038349842,1130.412715915096,627.8058056463979,271.3217188062253,95.19994289721112,783.4430583761298,176.20328801694063
true,1,35_absent_37.jpg,35,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,270,270,90,180,270,,270,,,,270,180,270,180,,90,270,180,180,90,180,270,,,270,,,90,180,180,,270,180,180,,633.4534286482319,1899.587686141219,1599.3456531470636,197.29692336383934,520.4656925815707,129.23763887803275,995.1742519557117,2071.753823290475,319.18883729858896,983.123544700258,196.61575300125645,2050.7827128389413,1664.7235014473608,1432.1211886653962,138.58959773887736,812.1153984267303,1328.3513587686377,1531.6777870234207,689.1423891879873,339.1287230125967,842.9001582256515,1931.1339003220444,2000.910709821355,440.8611115976267,1294.4740198049426,894.6109751807296,1037.2616456166331,1180.3703752007457,1859.0529747725298,716.1173548780395,1171.9203139199708,843.3189338117576,1181.5535694900675,1195.3239184050306,1596.6800308817649,1195.7391973634524,753.9279291655868,795.6083037974743,181.41111651924558,518.9221884626555,504.0695676709933,1078.4829694725431,694.2208939654835,1105.4041919130634,920.8051815681017,1207.6787940438005,919.2321787616064,536.3242434008491,629.9476993917574,870.8097611887766,418.5758625920172,830.3235766001441,278.69051999280305,799.5390357422266,403.2908362277268,1046.3164529183302,135.29857179662818,513.0352570905428,686.3832806566156,420.26713463860636,199.6559790720262,259.3264640263387,1211.9673303747436,1098.2737849992293,598.2374483856603,700.9691920608537,725.6886050220252,877.2275998132214,128.63761935942935,80.52947375116554
false,2,35_present_38.jpg,35,O,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,270,,,180,90,180,180,180,,90,90,,270,,90,270,180,90,180,180,90,270,270,270,180,180,,180,90,,90,270,,270,,1718.9306594663951,1371.983087926991,1750.6265156066127,342.37961797935634,1214.6792601699924,137.72298633940417,1095.0533577574893,1357.8325289732807,1103.299131204279,1197.229198737035,966.635534651255,1957.8239688733593,252.5252893252749,520.4420901313248,813.0582319770075,1824.1589312593146,1510.8037305842586,2071.1052021344963,838.2137637322984,946.6348229321898,890.7715953147093,1902.181412566652,397.825748962157,1660.9139597265928,236.79848907610372,1499.7659019781875,2009.4039631332703,1594.8418093885873,43.474688848546485,1067.3484470382407,1719.717077799155,2073.6562143253677,75.68535886473136,1103.728668504472,146.10457110773217,1158.89357855753,741.0173084691583,685.7123032119653,344.96909982294903,425.493492590823,676.0363107542563,58.86225559325803,932.8608017611284,1193.0477352518712,1049.7032383848693,471.2071231886936,1071.9584409819763,563.5466335328632,697.1331549853558,39.03232021178482,935.5810441900956,106.93862349322097,853.1452927716499,1150.4443976259402,694.9849987782372,971.7904196174807,327.4698903494866,90.34867633498727,870.0503215331204,1103.7054251867226,1107.3486325633266,552.6608308254569,684.467654578233,928.9449590845633,857.4182651628487,352.8618249470827,321.74176128633655,514.3646365377961,652.2455209210476,234.27738379953794
true,2,35_absent_38.jpg,35,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,180,270,180,90,180,180,,90,180,270,,270,,90,90,,,90,,,270,,180,90,90,270,,180,180,90,180,,180,,,658.2252635307258,917.0029064497061,2100.06836028642,975.053611689069,1949.4348587283432,119.84632253439563,1369.8374244762294,837.516833014359,1589.7604520172106,91.80951299237337,1790.325530023195,1100.3318142616135,1757.7788902068478,489.76726552450435,759.5685963386594,1138.07887352534,1560.3135180831337,1083.8380571807688,531.301631003923,1879.8072278313416,1235.107821285003,1342.6793634959067,2083.863534895622,1804.2491813446798,614.5938292878311,1246.4733895319973,1243.4337070642466,228.0521925663742,2137.3649380989577,525.5565979358056,217.9817192528451,1911.5606272243224,75.69970620327831,1759.6646520407353,2139.1875610157203,640.0571752740606,597.2208943696311,146.275635866287,792.6071110178754,1042.8886507024777,1194.908520889858,311.3726073695894,920.1762637105826,930.4841424780213,972.948740275685,674.8361215786497,584.6754880828512,498.6028917481067,1169.347439527203,415.1674241278272,850.3621576464316,191.36348236674039,324.91789298324915,266.8224980197362,90.48143838150474,115.91026100957441,965.5732810780402,360.23060792064297,1203.8228115877284,45.776294495352424,491.2615623970176,1218.1076929790718,295.10454504758394,507.3252485927962,758.2789525443185,1070.7461225246434,376.5605443844064,457.5393080535861,200.47655071157521,686.2731786905752
false,3,35_present_39.jpg,35,O,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,,270,180,180,90,90,270,90,180,180,270,90,270,180,90,90,,180,90,270,180,,270,,270,270,180,,,180,180,90,270,90,270,1776.9207664611574,876.0141704356917,410.68624258696076,1486.0464630245167,363.6605825384585,313.7098349677677,624.3659567952215,1783.6262276790483,1971.041093198201,407.29642873143916,1175.212745845534,1075.5093091361423,1722.6810310226888,1323.8841496322154,1905.038084831586,69.39832721293904,1063.2121554980115,30.09081404655913,1695.964851220678,712.2305428780653,1347.3100511617902,2129.341904797729,319.79958980132454,1001.8014469740245,437.8965288508007,1118.9452244494926,44.23179009131193,836.2891562190136,2124.493247843925,692.6315128714076,1777.7454326699512,30.106872480167503,1518.7402840914065,2118.186659715361,1179.3738420958027,532.4400551490471,950.4083683941215,857.4861752688013,768.0364907275747,1035.568615760337,727.7503591020198,501.8941092697918,366.0524490859446,565.2507965722483,367.48155663122867,82.62025343404089,901.6266886782054,889.5668431567175,429.5472560118435,819.7070408251361,1182.7369315095557,204.47728157332563,579.0957580705239,708.1933963960685,758.3514055572202,208.91798989796456,1155.3804083268765,182.70287096838368,50.32308707843325,1201.9383831102725,1060.0402084406585,356.4564449997801,520.6640373973484,101.49325322626524,1067.0848843863453,42.412336777526704,851.5645529938226,106.87575726475717,526.6690649532604,582.5873669073334
true,3,35_absent_39.jpg,35,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,,90,270,270,180,180,90,270,180,270,270,270,90,90,90,,,90,90,270,,180,90,270,270,90,90,90,180,90,270,,270,270,270,101.64103405805274,794.2406091040999,50.318900203887964,968.6086493739213,1724.0849881090164,1658.224239199072,2022.0488909364303,210.28026545578834,624.3043536893554,398.90071518766223,334.77165692988626,1086.2585097078882,109.35530183545636,1520.5367888363774,1303.2184160847205,1983.6764296996487,1048.3479367779908,1437.8536328577563,597.9531864176188,765.5595456819402,175.9433314439892,1379.3696250135079,543.2301090810928,1376.1686345314588,1657.1645497731595,995.9513669078581,340.4980615364439,2124.625210422521,2090.245947279607,1312.9912090663581,804.9451515688281,1666.8249306616565,578.9121393576612,648.9548752732347,1818.6390153653585,191.0078442039495,1205.6503475889926,939.2626923944277,363.94250096426606,596.7483509513444,912.8944279343035,32.40488146038112,475.5559641939117,392.94495496794866,330.39062485794165,118.99282340616185,1149.8190968281356,701.5771122217376,573.6735025391304,993.8426605716014,334.3467410902315,859.9986805291135,774.8779746922906,1157.0368079366629,556.4583253977634,1179.6219742371704,430.1565588184586,612.2478882866675,1212.6189590318604,309.7309697700931,79.02281372024144,615.3598333730146,716.6246530342046,1019.5646212510101,618.188868548882,934.8362478873082,113.32149654379452,247.51556441120786,930.6984148737954,1165.1687375647473
false,4,35_present_40.jpg,35,O,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,270,180,90,180,270,,,,180,180,90,,90,90,,90,180,90,270,180,,90,270,,180,,,90,90,180,90,,,,90,1318.026458459111,740.1707631911114,1736.2696431387965,161.7579447150321,1068.1025087060145,2143.1385415639543,524.6100831560075,1515.1169684076729,1299.757577065011,1876.6794184557616,300.6420924896955,754.6015141543014,199.30844126815782,1506.4365216328183,314.8463409460206,929.9719992939763,208.60833688738282,981.3106240333344,646.3166227211799,932.1975004058625,1504.4550001102027,1254.08122563121,584.3817728076992,651.1421078612312,2031.5271110477333,1940.5648021555228,1814.9704890314615,572.2771548183508,1705.0305357054428,100.7048007268625,82.96917311393224,1038.2368280635026,1973.6911601422014,1159.710237176697,1685.1863538700527,337.68520124348305,39.35046662478542,1028.450231628933,363.85047802511616,231.56551295922645,849.5380821420113,84.10675608916063,131.94269216656394,133.16122796192874,485.1015551894422,524.863952574769,292.1013545198814,1150.124321338486,458.0971078610138,992.2366826974713,1127.1681919600665,216.56745852217884,725.5077749783759,954.6232170473098,324.4852952823041,1183.8464176169014,1086.6344597639948,747.176433524886,592.426039393174,602.487028590466,215.71852441464839,852.9123369106245,302.43237272883863,569.680170537418,69.07288440983538,971.9505244785931,573.2352283177012,1202.8700836813134,465.47945558197637,378.54010424544725
true,4,35_absent_40.jpg,35,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,180,270,90,270,90,180,180,180,180,180,,90,270,270,90,270,180,270,90,90,270,270,90,,90,,180,90,270,90,270,180,,90,180,597.2982474199565,2031.1309803157353,2014.8068942185798,1226.8410879053838,1143.0797717694668,1084.5884143943351,1681.1309919284574,644.2390206605211,194.9235304763193,430.8865886400107,787.6531799975406,196.12970445732327,1550.4119040313274,1936.9248072569633,1057.7412488326586,2030.5398392096888,1395.0169565662704,1158.2386988515102,1500.141609219964,1673.0331759575297,359.90236172368003,867.505817508145,1931.4491487357573,372.38452204294003,370.57396828715974,1241.9334191227408,1365.9483021348267,1764.55216465289,988.4456320424556,1912.7436046386024,1695.1778613639203,1742.9772046167882,893.5074667861619,1705.6366805268656,79.88209933891221,890.5054025452694,154.09327677155193,576.2842915626981,275.9884188666453,1057.1388455235892,113.04193531019024,604.4683940449014,1105.3995996688357,899.922273171907,931.5744272872683,562.9926529957582,1213.541150497228,514.4293114688143,905.1195563348955,321.6918946989117,1079.5343426378997,308.56539978907557,895.0876883935865,166.94333063656364,1161.4166206831314,378.4263348551053,867.9198618787842,363.9123376741707,130.96765991620157,565.9424679344532,472.2106037515736,840.3620162622108,1027.2080708824726,646.2808861888589,696.3554290289162,366.4495250090913,866.5219794354606,270.6300750569385,157.7205643725313,270.30476436064043
false,5,35_present_41.jpg,35,O,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,180,270,270,90,90,180,270,90,180,270,270,90,,180,270,180,90,270,180,270,270,180,90,270,,270,90,90,180,270,,,180,180,270,313.7847972738609,2117.4195949043196,2160.6264636128453,1470.8955224468796,912.5463543298937,1512.692074557903,894.6004323952436,1574.7003465345538,460.31996813785213,938.2541698467173,1050.3488743550547,1865.0347185266646,1694.3150939963703,89.09500771519218,715.1115852475277,847.4381884701752,684.6237118033845,1098.6964898057704,1920.3034667660165,168.10791277832712,1668.940867154649,1080.1023571241608,420.93580807677426,1864.6779228687867,639.9936117044595,1254.8491376273826,1861.259947404676,104.81156935114785,561.5496812600211,463.65721682080687,1351.4882008092873,1554.6423764766337,202.59803516593263,1239.8413679106325,1070.8385561550099,1029.3293692837426,719.4314692918977,501.94179966609244,145.33521478708232,634.471697036873,336.01174402142414,415.36549247117193,1150.0593434050613,902.5224886173091,929.3109452760309,311.92758265534553,151.3742222706066,733.1887006772233,1116.3450615493182,1088.6638107458177,36.58239537065483,669.1163097232026,83.42358160369962,888.2566907928035,69.83186033295952,277.64841451279415,709.9444890150738,133.720653523913,412.6308839249226,823.0373332940796,1082.1294500244621,632.2371485281095,661.695881199178,299.9647009026299,1101.451588110836,652.590841819749,659.58159758774,245.55297755880667,768.6206339079657,1043.9670122894026
true,5,35_absent_41.jpg,35,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,,,,90,90,270,90,,,270,90,90,,90,90,270,180,270,180,90,180,,,270,270,270,,180,270,270,180,,270,270,,641.0582604130402,1565.0979268830756,1774.27273006681,2109.9627955574147,1117.0440465711604,1279.415675291524,1849.1091106141864,1207.513164110965,756.4206949325421,30.786190570306182,900.9010573554615,1891.941565404694,1914.0737113100945,2053.4755442163396,1398.7783901106734,1103.6090315901724,1892.7521938458383,2074.0275226608705,328.9621920255341,1052.3720968777416,854.5294032074638,1126.0153963086693,1654.8623257572501,440.7582786907779,1330.5001935909947,1542.501384155542,486.3865613841054,976.0299328312703,435.7620474586926,339.76199038784614,756.0713839445685,132.22627476468043,1686.8524196360338,957.6318885065017,2090.967310293031,864.1793016191773,734.081296573191,292.0508307507816,947.5420730528244,472.9519226547113,1148.4713972624752,1033.4597503716611,1010.7292285312899,1082.8999045056742,1007.1418858153647,647.4945070518221,840.5916725519061,563.3802495293711,1147.4312102656884,910.3437836452769,1161.3476413501876,103.38202555521481,185.77520704923467,334.98111546907404,824.9330972852196,943.8478675802703,45.33171943017666,987.8526046208497,199.58360494686383,131.89977767282673,313.1625383208994,988.7267080737214,323.99435037783337,694.4916258114766,514.4002590780253,561.6719962149866,166.63511939105146,462.686434872461,1104.2644662234761,345.82462155042265
